"Actual investments by segment, congressional district, and quarter (2023 million USD)",,,,,,,,,,,
,,,,,,,,,,,
version:,2024_Q4.20250218.0,,,,,,,,,,
created:,Tue Feb 18 16:00:32 2025 (MST),,,,,,,,,,
,,,,,,,,,,,
Segment,State,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,quarter,Estimated_Actual_Quarterly_Expenditure
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q1,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q2,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q3,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q4,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q1,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q2,3.401571
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q3,1.213665
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q4,0.578541
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q1,0.521958
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q2,0.926514
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q3,7.016452
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q4,17.812916
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q1,17.408361
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q2,17.408361
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q3,17.408361
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q4,17.408361
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2022-Q4,0.191169
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q1,4.396897
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q2,6.290215
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q3,4.11444
Energy and Industry,AK,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q4,0.946659
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q1,16.99284
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q2,25.489259
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q3,25.489259
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q4,25.489259
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2023-Q1,25.489259
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2024-Q3,9.971473
Energy and Industry,AL,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2024-Q4,29.914418
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q2,7.325043
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q3,39.467758
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q4,48.214072
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q1,48.214072
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q2,48.214072
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q3,48.214072
Energy and Industry,AL,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q4,48.214072
Energy and Industry,AL,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2022-Q3,0.339928
Energy and Industry,AL,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2022-Q4,0.694965
Energy and Industry,AL,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2023-Q1,0.679857
Energy and Industry,AL,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2023-Q2,0.355036
Energy and Industry,AL,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2024-Q4,114.318039
Energy and Industry,AL,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q2,23.245358
Energy and Industry,AL,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q3,69.736075
Energy and Industry,AL,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q4,69.736075
Energy and Industry,AL,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2021-Q1,69.736075
Energy and Industry,AL,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2021-Q2,69.736075
Energy and Industry,AL,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2018-Q3,8.583093
Energy and Industry,AL,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2018-Q4,17.166186
Energy and Industry,AL,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2023-Q4,13.22823
Energy and Industry,AL,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2024-Q1,19.842345
Energy and Industry,AL,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2024-Q2,13.22823
Energy and Industry,AL,107,AL-07,Katie Britt,Republican,Tommy Tuberville,Republican,Terri Sewell,Democratic,2018-Q1,33.259331
Energy and Industry,AL,107,AL-07,Katie Britt,Republican,Tommy Tuberville,Republican,Terri Sewell,Democratic,2018-Q2,33.259331
Energy and Industry,AL,107,AL-07,Katie Britt,Republican,Tommy Tuberville,Republican,Terri Sewell,Democratic,2018-Q3,33.259331
Energy and Industry,AL,107,AL-07,Katie Britt,Republican,Tommy Tuberville,Republican,Terri Sewell,Democratic,2018-Q4,33.259331
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2018-Q1,0.750708
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2018-Q2,0.750708
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2018-Q3,0.250236
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2018-Q4,0.439585
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2019-Q1,0.659377
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2019-Q2,0.439585
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2019-Q4,34.918054
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2020-Q1,52.050856
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2020-Q2,51.77876
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2020-Q3,18.056376
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2020-Q4,1.141056
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2021-Q2,0.855792
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2021-Q3,1.260422
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2021-Q4,4.938506
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2022-Q1,6.474076
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2022-Q2,4.046298
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2022-Q4,26.763722
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2023-Q1,149.587292
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2023-Q2,161.71521
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2023-Q3,451.766935
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2023-Q4,223.847517
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2024-Q1,262.861629
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2024-Q2,297.774552
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2024-Q3,455.928602
Energy and Industry,AR,501,AR-01,John Boozman,Republican,Tom Cotton,Republican,Rick Crawford,Republican,2024-Q4,164.436078
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2020-Q4,14.910921
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2021-Q1,42.564757
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2021-Q2,41.842088
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2021-Q3,40.39675
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2021-Q4,26.931167
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2022-Q1,16.617998
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2022-Q2,24.926996
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2022-Q3,24.926996
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2022-Q4,25.351817
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2023-Q1,25.564228
Energy and Industry,AR,502,AR-02,John Boozman,Republican,Tom Cotton,Republican,French Hill,Republican,2023-Q2,25.351817
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2018-Q1,0.250236
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2019-Q2,20.820168
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2019-Q3,20.820168
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2021-Q2,0.242778
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2021-Q3,0.728334
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2021-Q4,0.728334
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2022-Q4,0.424821
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2023-Q1,0.637231
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2023-Q2,0.424821
Energy and Industry,AR,503,AR-03,John Boozman,Republican,Tom Cotton,Republican,Steve Womack,Republican,2024-Q4,32.00059
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2018-Q1,0.750708
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2018-Q2,0.750708
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2018-Q3,0.250236
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2019-Q2,0.967087
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2019-Q3,1.45063
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2019-Q4,1.619535
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2020-Q1,0.978672
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2020-Q2,2.14752
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2020-Q3,1.875424
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2020-Q4,1.005493
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2021-Q1,2.49606
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2021-Q2,2.49606
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2021-Q3,1.66404
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2021-Q4,0.606945
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2022-Q1,0.606945
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2022-Q2,0.202315
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2022-Q4,3.058711
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2023-Q1,8.156563
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2023-Q2,6.153481
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2023-Q3,6.119064
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2023-Q4,4.41978
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2024-Q1,44.47669
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2024-Q2,139.660517
Energy and Industry,AR,504,AR-04,John Boozman,Republican,Tom Cotton,Republican,Bruce Westerman,Republican,2024-Q3,118.849932
