"Federal investment in tax credits, grants, and the fiscal costs of loans and loan guarantees by State, 2023 million USD (or 2023 USD for per-capita values)"

version:,2024_Q4.20250218.0
created:,Tue Feb 18 16:00:32 2025 (MST)

State,quarter,Total Federal Investment,Federal investment per capita,Federal investment as a fraction of state GDP,Population,State GDP (Annualized)
AK,2022-Q1,1.520374,2.071093,0.000096,734092,63038.801644
AK,2022-Q2,2.117872,2.886618,0.000133,733686,63498.574741
AK,2022-Q3,1.988162,2.711341,0.000125,733276,63810.708090
AK,2022-Q4,8.514859,11.611560,0.000522,733308,65295.869573
AK,2023-Q1,7.372871,10.053802,0.000445,733341,66222.831462
AK,2023-Q2,8.543955,11.650209,0.000503,733373,67895.407786
AK,2023-Q3,13.721972,18.709926,0.000795,733406,69023.941750
AK,2023-Q4,32.319315,43.966403,0.001871,735091,69081.919003
AK,2024-Q1,31.648887,42.955669,0.001838,736780,68875.627848
AK,2024-Q2,35.217614,47.690960,0.002051,738454,68687.538854
AK,2024-Q3,39.682173,53.614922,0.002298,740133,69059.671917
AK,2024-Q4,88.734142,119.614613,0.005112,741833,69433.821111
AL,2022-Q1,5.119942,1.011402,0.000070,5062224,293910.433898
AL,2022-Q2,5.863794,1.157017,0.000080,5068028,294193.112566
AL,2022-Q3,5.694005,1.122214,0.000077,5073903,297079.127159
AL,2022-Q4,10.312920,2.029067,0.000137,5082593,300767.410734
AL,2023-Q1,182.855599,35.915319,0.002423,5091298,301857.742739
AL,2023-Q2,97.024543,19.025060,0.001280,5099828,303222.676880
AL,2023-Q3,96.021651,18.796565,0.001257,5108468,305546.026314
AL,2023-Q4,94.122699,18.380473,0.001218,5120798,309115.854066
AL,2024-Q1,178.247585,34.724735,0.002307,5133158,309043.165266
AL,2024-Q2,188.484885,36.631624,0.002419,5145414,311627.655946
AL,2024-Q3,195.199022,37.846144,0.002469,5157699,316233.972148
AL,2024-Q4,211.778995,40.961879,0.002640,5170148,320908.376495
AR,2022-Q1,43.317674,14.261038,0.001000,3037484,173271.947225
AR,2022-Q2,15.974395,5.251425,0.000370,3041916,172759.294581
AR,2022-Q3,16.639399,5.461980,0.000381,3046404,174859.466741
AR,2022-Q4,22.306352,7.309326,0.000504,3051765,177032.432479
AR,2023-Q1,40.237773,13.161913,0.000904,3057137,177955.516998
AR,2023-Q2,30.524742,9.967586,0.000688,3062400,177586.902711
AR,2023-Q3,34.293274,11.178706,0.000769,3067732,178477.462439
AR,2023-Q4,127.634525,41.535492,0.002830,3072902,180405.717852
AR,2024-Q1,58.314592,18.945106,0.001277,3078082,182671.611562
AR,2024-Q2,159.327886,51.675913,0.003476,3083213,183334.497760
AR,2024-Q3,213.776882,69.220330,0.004587,3088354,186413.511222
AR,2024-Q4,162.982728,52.684531,0.003439,3093559,189544.235214
AZ,2022-Q1,96.009581,13.117281,0.000764,7319320,502438.298851
AZ,2022-Q2,129.956993,17.699676,0.001028,7342337,505521.905798
AZ,2022-Q3,88.112576,11.962579,0.000693,7365684,508465.348794
AZ,2022-Q4,104.740434,14.188281,0.000814,7382179,514389.337007
AZ,2023-Q1,203.226452,27.467819,0.001570,7398710,517922.293095
AZ,2023-Q2,402.688252,54.307839,0.003091,7414919,521055.369673
AZ,2023-Q3,478.187166,64.347333,0.003649,7431344,524192.568719
AZ,2023-Q4,233.591196,31.274658,0.001770,7469024,527898.668513
AZ,2024-Q1,234.778026,31.274977,0.001770,7506896,530689.580149
AZ,2024-Q2,640.756795,84.929802,0.004793,7544545,534708.987600
AZ,2024-Q3,417.139568,55.014303,0.003097,7582384,538786.109620
AZ,2024-Q4,368.707506,48.381537,0.002717,7620830,542894.319437
CA,2022-Q1,810.714572,20.738433,0.000853,39092373,3801992.966216
CA,2022-Q2,925.853544,23.699345,0.000977,39066629,3789487.914037
CA,2022-Q3,1280.075400,32.788299,0.001349,39040616,3796181.218728
CA,2022-Q4,1339.171144,34.318722,0.001415,39021591,3785733.133356
CA,2023-Q1,1621.585799,41.576377,0.001689,39002576,3839246.920619
CA,2023-Q2,1984.397291,50.902887,0.002064,38983983,3845874.924777
CA,2023-Q3,2781.827591,71.392630,0.002863,38965193,3887210.162528
CA,2023-Q4,2481.975255,63.507146,0.002540,39081826,3909183.792076
CA,2024-Q1,2067.701169,52.749082,0.002084,39198808,3969488.834830
CA,2024-Q2,2652.475163,67.467489,0.002654,39314864,3997013.009731
CA,2024-Q3,2942.532013,74.624341,0.002922,39431263,4027736.910777
CA,2024-Q4,3092.156782,78.184885,0.003047,39549291,4058696.977704
CO,2022-Q1,73.545386,12.622740,0.000582,5826419,505217.978946
CO,2022-Q2,82.447885,14.133072,0.000658,5833684,501542.802169
CO,2022-Q3,73.311806,12.551158,0.000577,5841039,508375.405646
CO,2022-Q4,212.749415,36.365958,0.001653,5850235,514970.353350
CO,2023-Q1,141.818589,24.203411,0.001090,5859446,520614.677961
CO,2023-Q2,550.383386,93.786506,0.004163,5868470,528847.752958
CO,2023-Q3,174.986703,29.771745,0.001314,5877610,532832.731010
CO,2023-Q4,294.933781,50.009216,0.002200,5897588,536210.838071
CO,2024-Q1,218.000024,36.839046,0.001633,5917634,533923.401255
CO,2024-Q2,271.523653,45.730064,0.002021,5937530,537428.823908
CO,2024-Q3,288.441721,48.416628,0.002129,5957493,541940.039744
CO,2024-Q4,403.314480,67.469357,0.002952,5977743,546489.123047
CT,2022-Q1,32.539123,9.023060,0.000391,3606218,333152.129800
CT,2022-Q2,25.261710,7.002640,0.000302,3607455,334170.135038
CT,2022-Q3,25.522293,7.072422,0.000303,3608706,337273.728929
CT,2022-Q4,39.829740,11.030605,0.000466,3610839,342112.559022
CT,2023-Q1,137.180255,37.968798,0.001609,3612973,340985.481794
CT,2023-Q2,128.960886,35.673211,0.001497,3615062,344505.532374
CT,2023-Q3,139.449570,38.552055,0.001609,3617176,346617.562722
CT,2023-Q4,185.995761,51.215335,0.002116,3631641,351539.023110
CT,2024-Q1,266.646111,73.130551,0.003036,3646165,351310.963495
CT,2024-Q2,330.629446,90.321382,0.003739,3660588,353707.242059
CT,2024-Q3,370.926062,100.930367,0.004163,3675069,356371.242779
CT,2024-Q4,511.299606,138.572348,0.005696,3689766,359055.307832
DC,2022-Q1,5.497042,8.204539,0.000125,670000,176232.589514
DC,2022-Q2,5.978869,8.917406,0.000137,670471,174549.236727
DC,2022-Q3,5.899572,8.792878,0.000136,670949,173906.413483
DC,2022-Q4,6.987050,10.382529,0.000160,672962,174213.215485
DC,2023-Q1,10.735872,15.905431,0.000246,674981,174703.449373
DC,2023-Q2,10.914773,16.123149,0.000246,676962,177248.769692
DC,2023-Q3,13.926411,20.511025,0.000316,678972,176127.075597
DC,2023-Q4,18.632779,27.211082,0.000419,684749,177927.305338
DC,2024-Q1,18.060715,26.153098,0.000407,690576,177446.811196
DC,2024-Q2,23.511314,33.761763,0.000527,696388,178370.463786
DC,2024-Q3,21.181294,30.162042,0.000473,702250,179273.013593
DC,2024-Q4,34.984908,49.397961,0.000777,708225,180180.130278
DE,2022-Q1,3.797177,3.751396,0.000157,1012203,96795.470528
DE,2022-Q2,5.982613,5.889530,0.000248,1015804,96654.699373
DE,2022-Q3,3.270696,3.208266,0.000135,1019459,96934.492973
DE,2022-Q4,26.332513,25.751102,0.001080,1022578,97539.546635
DE,2023-Q1,14.557469,14.192623,0.000605,1025706,96200.034771
DE,2023-Q2,13.454059,13.077726,0.000550,1028776,97786.989101
DE,2023-Q3,12.614472,12.224628,0.000510,1031890,98882.555918
DE,2023-Q4,11.077676,10.683581,0.000446,1036887,99405.420210
DE,2024-Q1,14.978876,14.376361,0.000605,1041910,98958.624804
DE,2024-Q2,11.068937,10.573044,0.000444,1046901,99744.669951
DE,2024-Q3,19.253230,18.302993,0.000766,1051917,100501.861383
DE,2024-Q4,16.487410,15.598130,0.000651,1057011,101264.800880
FL,2022-Q1,337.849595,15.329734,0.000899,22038843,1502865.647169
FL,2022-Q2,230.543055,10.412321,0.000606,22141370,1522406.884230
FL,2022-Q3,228.670936,10.279415,0.000591,22245521,1548809.546008
FL,2022-Q4,266.743506,11.941772,0.000681,22337012,1567119.245299
FL,2023-Q1,642.246657,28.634806,0.001620,22428881,1585805.945948
FL,2023-Q2,586.814996,26.058525,0.001479,22519117,1586886.683175
FL,2023-Q3,522.066465,23.089328,0.001301,22610726,1605070.715346
FL,2023-Q4,656.128492,28.777853,0.001615,22799771,1625479.055531
FL,2024-Q1,498.264045,21.672702,0.001215,22990398,1639805.107138
FL,2024-Q2,612.169076,26.408772,0.001481,23180520,1652937.321112
FL,2024-Q3,666.914198,28.534488,0.001601,23372215,1666371.136171
FL,2024-Q4,791.213574,33.572050,0.001884,23567627,1679914.131044
GA,2022-Q1,28.147524,2.593740,0.000140,10852098,804878.834683
GA,2022-Q2,97.159402,8.928112,0.000476,10882412,815693.481471
GA,2022-Q3,28.456658,2.607557,0.000139,10913150,817912.237596
GA,2022-Q4,52.663725,4.812861,0.000255,10942292,827381.316153
GA,2023-Q1,255.730012,23.308548,0.001247,10971512,820166.780109
GA,2023-Q2,256.453623,23.313601,0.001238,11000172,828691.097995
GA,2023-Q3,287.790964,26.093485,0.001378,11029227,835640.814759
GA,2023-Q4,354.838575,32.062320,0.001684,11067152,842812.407136
GA,2024-Q1,434.244453,39.102775,0.002043,11105207,850177.246015
GA,2024-Q2,541.833530,48.625555,0.002528,11142978,857477.669392
GA,2024-Q3,591.277583,52.882929,0.002741,11180878,863017.402426
GA,2024-Q4,790.563078,70.464408,0.003641,11219324,868592.924896
HI,2022-Q1,13.238054,9.173745,0.000493,1443037,107485.322657
HI,2022-Q2,21.066813,14.617276,0.000785,1441226,107304.715284
HI,2022-Q3,30.100943,20.912160,0.001111,1439399,108388.359520
HI,2022-Q4,20.529221,14.273018,0.000751,1438323,109290.308387
HI,2023-Q1,66.244216,46.090967,0.002419,1437249,109535.107537
HI,2023-Q2,48.802910,33.980601,0.001774,1436199,110030.145817
HI,2023-Q3,29.952782,20.871011,0.001086,1435138,110297.792888
HI,2023-Q4,172.777929,120.160146,0.006215,1437897,111198.653758
HI,2024-Q1,65.986216,45.802718,0.002366,1440661,111543.548561
HI,2024-Q2,68.583186,47.514985,0.002451,1443401,111922.171245
HI,2024-Q3,32.600037,22.542701,0.001158,1446146,112638.072759
HI,2024-Q4,35.107445,24.229973,0.001239,1448926,113358.553481
IA,2022-Q1,126.028771,39.398451,0.001971,3198825,255799.406611
IA,2022-Q2,100.991448,31.567158,0.001597,3199256,252922.110291
IA,2022-Q3,103.073936,32.213696,0.001626,3199693,253562.032285
IA,2022-Q4,110.998125,34.670292,0.001766,3201534,251475.227841
IA,2023-Q1,128.289666,40.048264,0.002047,3203376,250651.798804
IA,2023-Q2,111.174263,34.685813,0.001773,3205179,250795.310722
IA,2023-Q3,85.579463,26.685175,0.001338,3207004,255893.512787
IA,2023-Q4,132.654373,41.252901,0.002050,3215637,258787.277688
IA,2024-Q1,156.976405,48.685510,0.002494,3224294,251792.836183
IA,2024-Q2,127.730480,39.509816,0.002021,3232879,252820.946152
IA,2024-Q3,93.993159,28.996917,0.001487,3241488,252832.709424
