"Manufacturing, industrial, and energy facility metadata"

version:,2024_Q4.20250218.0
created:,Tue Feb 18 16:00:32 2025 (MST)

unique_id,Segment,Company,Technology,Subcategory,Decarb_Sector,Project_Type,Current_Facility_Status,Estimated_Total_Facility_CAPEX,Announcement_Date,State,Address,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,county_2020_fips_code,county_2020_geoid,census_tract_2020_id,census_tract_2020_geoid,census_tract_2020_name,county_2010_fips_code,county_2010_geoid,census_tract_2010_id,census_tract_2010_geoid,census_tract_2010_name,census_2022_zip5,Latitude,Longitude,LatLon_Valid
M.B.6K_TN_0,Manufacturing,6K Energy,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,200.295468,2023-04-18,TN,"Riverside Dr, Jackson, TN  38301",4708,TN-08,Marsha Blackburn,Republican,Bill Hagerty,Republican,David Kustoff,Republican,113,47113,000800,47113000800,Census Tract 8,113,47113,000800,47113000800,Census Tract 8,38301,35.606000,-88.830000,True
M.B.ABB_VA_0,Manufacturing,ABB Group,Batteries,Modules,Clean Tech Manufacturing,New,Operating,1.502216,2023-06-19,VA,"8440 Times Dispatch Blvd #100, Mechanicsville, VA 23116",5101,VA-01,Tim Kaine,Democratic,Mark Warner,Democratic,Robert J. Wittman,Republican,085,51085,320902,51085320902,Census Tract 3209.02,085,51085,320900,51085320900,Census Tract 3209,23116,37.637920,-77.399120,True
M.B.Advano_LA_0,Manufacturing,Advano,Batteries,EAM,Clean Tech Manufacturing,Expansion,Operating,20.537455,2020-07-08,LA,"2045 Lakeshore Drive, New Orleans, LA 70122",2202,LA-02,Bill Cassidy,Republican,John Neely Kennedy,Republican,Troy Carter,Democratic,071,22071,013302,22071013302,Census Tract 133.02,071,22071,013302,22071013302,Census Tract 133.02,70148,30.031877,-90.063604,True
M.B.Akasol_MI_0,Manufacturing,"AKASOL, Inc.",Batteries,Modules,Clean Tech Manufacturing,New,Operating,44.591145,2019-06-26,MI,"1400 E 10 Mile Rd, Suite 150, Hazel Park, MI, 48030",2611,MI-11,Gary Peters,Democratic,Elissa Slotkin,Democratic,Haley Stevens,Democratic,125,26125,175000,26125175000,Census Tract 1750,125,26125,175000,26125175000,Census Tract 1750,48030,42.475023,-83.092156,True
M.B.Aleon_TX_0,Manufacturing,Aleon Renewables Metals,Batteries,EAM,Clean Tech Manufacturing,New,Under Construction,332.727759,2022-06-16,TX,"302 Midway Rd, Freeport, TX 77542",4814,TX-14,John Cornyn,Republican,Ted Cruz,Republican,Randy Weber,Republican,039,48039,664200,48039664200,Census Tract 6642,039,48039,664200,48039664200,Census Tract 6642,77541,28.954640,-95.338910,True
M.B.Alkegen_IN_0,Manufacturing,Alkegen,Batteries,EAM,Clean Tech Manufacturing,New,Operating,14.400517,2021-06-15,IN,"54401 Smilax Road, New Carlisle, IN 46552",1802,IN-02,Jim Banks,Republican,Todd C. Young,Republican,Rudy Yakym,Republican,141,18141,010800,18141010800,Census Tract 108,141,18141,010800,18141010800,Census Tract 108,46552,41.702912,-86.449965,True
M.B.AMBatteries_MA_0,Manufacturing,AM Batteries,Batteries,EAM,Clean Tech Manufacturing,Expansion,Under Construction,,2022-10-25,MA,"200 Turnpike Road, Chelmsford, MA 01824",2503,MA-03,Edward J. Markey,Democratic,Elizabeth Warren,Democratic,Lori Trahan,Democratic,017,25017,317102,25017317102,Census Tract 3171.02,017,25017,317102,25017317102,Census Tract 3171.02,01824,42.583530,-71.320550,True
M.B.Ambri_MA_0,Manufacturing,Ambri,Batteries,Cells,Clean Tech Manufacturing,New,Canceled prior to operation,74.906732,2022-06-02,MA,"196 E Main St, Milford, MA 01757",2504,MA-04,Edward J. Markey,Democratic,Elizabeth Warren,Democratic,Jake Auchincloss,Democratic,027,25027,744202,25027744202,Census Tract 7442.02,027,25027,744200,25027744200,Census Tract 7442,01757,42.153690,-71.501640,True
M.B.American_AZ_0,Manufacturing,American Battery Factory,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,Under Construction,419.992018,2022-03-08,AZ,"Tucson Mountain Park, Tucson, AZ  85735",0407,AZ-07,Ruben Gallego,Democratic,Mark Kelly,Democratic,Raúl Grijalva,Democratic,019,04019,004434,04019004434,Census Tract 44.34,019,04019,004421,04019004421,Census Tract 44.21,85735,32.222000,-111.140000,True
M.B.American_OH_0,Manufacturing,American Battery Factory,Batteries,Modules,Clean Tech Manufacturing,Restart,Operating,208.074254,2022-04-04,OH,"50 Ovonic Way, Springboro, OH 45066",3901,OH-01,Jon Husted,Republican,Bernie Moreno,Republican,Greg Landsman,Democratic,165,39165,030501,39165030501,Census Tract 305.01,165,39165,030501,39165030501,Census Tract 305.01,45066,39.569310,-84.259160,True
