geography,med_household_income,unemployed,total_pop,gini,year,geography_str,state_cd
"Congressional District 1 (113th Congress), New York: Summary level: 500, state:36> congressional district:01",86967.0,25704.0,720418.0,0.4206,2013,"Congressional District 1 (113th Congress), New York: Summary level: 500, state:36> congressional district:01",NY-01
"Congressional District 2 (113th Congress), New York: Summary level: 500, state:36> congressional district:02",87268.0,29972.0,721578.0,0.3882,2013,"Congressional District 2 (113th Congress), New York: Summary level: 500, state:36> congressional district:02",NY-02
"Congressional District 3 (113th Congress), New York: Summary level: 500, state:36> congressional district:03",101441.0,26228.0,720750.0,0.4772,2013,"Congressional District 3 (113th Congress), New York: Summary level: 500, state:36> congressional district:03",NY-03
"Congressional District 4 (113th Congress), New York: Summary level: 500, state:36> congressional district:04",93085.0,28960.0,715641.0,0.4297,2013,"Congressional District 4 (113th Congress), New York: Summary level: 500, state:36> congressional district:04",NY-04
"Congressional District 5 (113th Congress), New York: Summary level: 500, state:36> congressional district:05",61223.0,46431.0,747137.0,0.4272,2013,"Congressional District 5 (113th Congress), New York: Summary level: 500, state:36> congressional district:05",NY-05
"Congressional District 6 (113th Congress), New York: Summary level: 500, state:36> congressional district:06",57470.0,32907.0,717451.0,0.4525,2013,"Congressional District 6 (113th Congress), New York: Summary level: 500, state:36> congressional district:06",NY-06
"Congressional District 7 (113th Congress), New York: Summary level: 500, state:36> congressional district:07",44104.0,38969.0,739966.0,0.5403,2013,"Congressional District 7 (113th Congress), New York: Summary level: 500, state:36> congressional district:07",NY-07
"Congressional District 8 (113th Congress), New York: Summary level: 500, state:36> congressional district:08",44076.0,44005.0,724625.0,0.5017,2013,"Congressional District 8 (113th Congress), New York: Summary level: 500, state:36> congressional district:08",NY-08
"Congressional District 10 (113th Congress), New York: Summary level: 500, state:36> congressional district:10",73955.0,29355.0,718444.0,0.5834,2013,"Congressional District 10 (113th Congress), New York: Summary level: 500, state:36> congressional district:10",NY-10
"Congressional District 11 (113th Congress), New York: Summary level: 500, state:36> congressional district:11",63631.0,29077.0,719449.0,0.457,2013,"Congressional District 11 (113th Congress), New York: Summary level: 500, state:36> congressional district:11",NY-11
"Congressional District 13 (113th Congress), New York: Summary level: 500, state:36> congressional district:13",35157.0,52807.0,741564.0,0.5198,2013,"Congressional District 13 (113th Congress), New York: Summary level: 500, state:36> congressional district:13",NY-13
"Congressional District 15 (113th Congress), New York: Summary level: 500, state:36> congressional district:15",25509.0,52258.0,721177.0,0.4842,2013,"Congressional District 15 (113th Congress), New York: Summary level: 500, state:36> congressional district:15",NY-15
"Congressional District 16 (113th Congress), New York: Summary level: 500, state:36> congressional district:16",63399.0,39279.0,729011.0,0.5422,2013,"Congressional District 16 (113th Congress), New York: Summary level: 500, state:36> congressional district:16",NY-16
"Congressional District 18 (113th Congress), New York: Summary level: 500, state:36> congressional district:18",77337.0,31094.0,717584.0,0.4585,2013,"Congressional District 18 (113th Congress), New York: Summary level: 500, state:36> congressional district:18",NY-18
"Congressional District 20 (113th Congress), New York: Summary level: 500, state:36> congressional district:20",59842.0,29652.0,719589.0,0.4413,2013,"Congressional District 20 (113th Congress), New York: Summary level: 500, state:36> congressional district:20",NY-20
"Congressional District 21 (113th Congress), New York: Summary level: 500, state:36> congressional district:21",49614.0,32424.0,719261.0,0.4281,2013,"Congressional District 21 (113th Congress), New York: Summary level: 500, state:36> congressional district:21",NY-21
"Congressional District 23 (113th Congress), New York: Summary level: 500, state:36> congressional district:23",46756.0,27919.0,716445.0,0.4399,2013,"Congressional District 23 (113th Congress), New York: Summary level: 500, state:36> congressional district:23",NY-23
"Congressional District 25 (113th Congress), New York: Summary level: 500, state:36> congressional district:25",51811.0,31507.0,719996.0,0.4604,2013,"Congressional District 25 (113th Congress), New York: Summary level: 500, state:36> congressional district:25",NY-25
"Congressional District 26 (113th Congress), New York: Summary level: 500, state:36> congressional district:26",43539.0,35368.0,716451.0,0.4628,2013,"Congressional District 26 (113th Congress), New York: Summary level: 500, state:36> congressional district:26",NY-26
"Congressional District 11 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:11",40105.0,35735.0,735900.0,0.4462,2013,"Congressional District 11 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:11",NC-11
"Congressional District 12 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:12",36379.0,56376.0,749231.0,0.4593,2013,"Congressional District 12 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:12",NC-12
"Congressional District 1 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:01",34076.0,49838.0,728046.0,0.4676,2013,"Congressional District 1 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:01",NC-01
"Congressional District 3 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:03",45359.0,38651.0,743991.0,0.4386,2013,"Congressional District 3 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:03",NC-03
"Congressional District 5 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:05",43749.0,37613.0,740236.0,0.4721,2013,"Congressional District 5 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:05",NC-05
"Congressional District 6 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:06",49425.0,35537.0,747697.0,0.4605,2013,"Congressional District 6 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:06",NC-06
"Congressional District 8 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:08",41325.0,45394.0,735302.0,0.444,2013,"Congressional District 8 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:08",NC-08
"Congressional District 10 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:10",42811.0,44862.0,733481.0,0.4591,2013,"Congressional District 10 (113th Congress), North Carolina: Summary level: 500, state:37> congressional district:10",NC-10
"Congressional District 4 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:04",47084.0,35224.0,718572.0,0.4183,2013,"Congressional District 4 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:04",OH-04
"Congressional District 3 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:03",40687.0,42140.0,724900.0,0.4674,2013,"Congressional District 3 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:03",OH-03
"Congressional District 5 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:05",51214.0,35391.0,723657.0,0.4281,2013,"Congressional District 5 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:05",OH-05
"Congressional District 7 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:07",48579.0,34153.0,721469.0,0.4224,2013,"Congressional District 7 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:07",OH-07
"Congressional District 9 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:09",40147.0,48091.0,718756.0,0.4596,2013,"Congressional District 9 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:09",OH-09
"Congressional District 11 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:11",33955.0,56300.0,710894.0,0.5369,2013,"Congressional District 11 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:11",OH-11
"Congressional District 12 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:12",63089.0,25166.0,729175.0,0.4508,2013,"Congressional District 12 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:12",OH-12
"Congressional District 14 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:14",59905.0,28441.0,719933.0,0.4478,2013,"Congressional District 14 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:14",OH-14
"Congressional District 16 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:16",59799.0,27854.0,720969.0,0.42,2013,"Congressional District 16 (113th Congress), Ohio: Summary level: 500, state:39> congressional district:16",OH-16
"Congressional District 1 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:01",41117.0,37865.0,745946.0,0.451,2013,"Congressional District 1 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:01",MS-01
"Congressional District 2 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:02",31570.0,44586.0,736637.0,0.4901,2013,"Congressional District 2 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:02",MS-02
"Congressional District 3 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:03",41194.0,31796.0,745663.0,0.4899,2013,"Congressional District 3 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:03",MS-03
"Congressional District 4 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:04",42370.0,34901.0,748626.0,0.4616,2013,"Congressional District 4 (113th Congress), Mississippi: Summary level: 500, state:28> congressional district:04",MS-04
"Congressional District 16 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:16",53210.0,33331.0,709239.0,0.4329,2013,"Congressional District 16 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:16",PA-16
"Congressional District 2 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:02",73780.0,24631.0,752009.0,0.4535,2013,"Congressional District 2 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:02",MO-02
"Congressional District 4 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:04",44361.0,29249.0,751928.0,0.4414,2013,"Congressional District 4 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:04",MO-04
"Congressional District 5 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:05",44869.0,37385.0,750456.0,0.4506,2013,"Congressional District 5 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:05",MO-05
"Congressional District 7 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:07",41357.0,33638.0,752890.0,0.4458,2013,"Congressional District 7 (113th Congress), Missouri: Summary level: 500, state:29> congressional district:07",MO-07
"Congressional District 1 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:01",53023.0,20041.0,614946.0,0.4276,2013,"Congressional District 1 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:01",NE-01
"Congressional District 2 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:02",56634.0,21884.0,618515.0,0.4527,2013,"Congressional District 2 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:02",NE-02
"Congressional District 3 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:03",46393.0,15600.0,608164.0,0.4249,2013,"Congressional District 3 (113th Congress), Nebraska: Summary level: 500, state:31> congressional district:03",NE-03
"Congressional District 2 (113th Congress), Nevada: Summary level: 500, state:32> congressional district:02",54341.0,40596.0,679579.0,0.4495,2013,"Congressional District 2 (113th Congress), Nevada: Summary level: 500, state:32> congressional district:02",NV-02
"Congressional District 3 (113th Congress), Nevada: Summary level: 500, state:32> congressional district:03",64580.0,37827.0,700887.0,0.4329,2013,"Congressional District 3 (113th Congress), Nevada: Summary level: 500, state:32> congressional district:03",NV-03
"Congressional District 1 (113th Congress), New Hampshire: Summary level: 500, state:33> congressional district:01",65502.0,25576.0,660978.0,0.4346,2013,"Congressional District 1 (113th Congress), New Hampshire: Summary level: 500, state:33> congressional district:01",NH-01
"Congressional District 2 (113th Congress), New Hampshire: Summary level: 500, state:33> congressional district:02",64303.0,26094.0,658193.0,0.4304,2013,"Congressional District 2 (113th Congress), New Hampshire: Summary level: 500, state:33> congressional district:02",NH-02
"Congressional District 9 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:09",59375.0,34116.0,738554.0,0.4865,2013,"Congressional District 9 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:09",NJ-09
"Congressional District 10 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:10",48392.0,58428.0,732011.0,0.4973,2013,"Congressional District 10 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:10",NJ-10
"Congressional District 12 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:12",79606.0,39428.0,737997.0,0.4535,2013,"Congressional District 12 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:12",NJ-12
"Congressional District 1 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:01",63938.0,46085.0,732996.0,0.4416,2013,"Congressional District 1 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:01",NJ-01
"Congressional District 2 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:02",58166.0,46651.0,733531.0,0.4417,2013,"Congressional District 2 (113th Congress), New Jersey: Summary level: 500, state:34> congressional district:02",NJ-02
