Segment,state,CD119_2024,CD119_2024_Name,US Senator 1: Name,US Senator 1: Party,US Senator 2: Name,US Senator 2: Party,US Representative Name,US Representative Party,quarter,Estimated_Actual_Quarterly_Expenditure,StateName,population,real_gdp,Total Federal Investment,Federal investment per capita,Federal investment as a fraction of state GDP,year
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q1,1.213665,Alaska,738782.371731,66548.447892,,,,2018
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q2,1.213665,Alaska,737708.35887,66065.079402,,,,2018
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q3,1.213665,Alaska,736624.0,65974.068599,,,,2018
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2018-Q4,1.213665,Alaska,735861.371808,65679.463257,,,,2018
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q1,1.213665,Alaska,735099.533167,65271.600026,,,,2019
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q2,3.401571,Alaska,734355.019441,65291.824649,,,,2019
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q3,1.213665,Alaska,733603.0,66694.065178,,,,2019
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2019-Q4,0.578541,Alaska,733442.324652,66495.189718,,,,2019
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q1,0.521958,Alaska,733281.684496,65867.552251,,,,2020
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q2,0.926514,Alaska,733122.82504,60732.520466,,,,2020
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q3,7.016452,Alaska,732964.0,62641.724879,,,,2020
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2020-Q4,17.812916,Alaska,733457.282571,64214.526396,,,,2020
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q1,17.408361,Alaska,733950.89712,64410.031085,,,,2021
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q2,17.408361,Alaska,734434.102363,64239.470098,,,,2021
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q3,17.408361,Alaska,734923.0,64797.669693,,,,2021
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2021-Q4,17.408361,Alaska,734507.517378,65655.867863,,,,2021
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2022-Q4,0.191169,Alaska,733308.764951,65295.869573,8.514859,11.61156,0.000522,2022
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q1,4.396897,Alaska,733341.531366,66222.831462,7.372871,10.053802,0.000445,2023
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q2,6.290215,Alaska,733373.586885,67895.407786,8.543955,11.650209,0.000503,2023
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q3,4.11444,Alaska,733406.0,69023.94175,13.721972,18.709926,0.000795,2023
Energy and Industry,ak,200,AK-00,Lisa Murkowski,Republican,Daniel S. Sullivan,Republican,Nicholas Begich,Republican,2023-Q4,0.946659,Alaska,735091.165168,69081.919003,32.319315,43.966403,0.001871,2023
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q1,16.99284,Alabama,5062224.507206,293910.433898,5.119942,1.011402,7e-05,2022
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q2,25.489259,Alabama,5068028.128794,294193.112566,5.863794,1.157017,8e-05,2022
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q3,25.489259,Alabama,5073903.0,297079.127159,5.694005,1.122214,7.7e-05,2022
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2022-Q4,25.489259,Alabama,5082593.166121,300767.410734,10.31292,2.029067,0.000137,2022
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2023-Q1,25.489259,Alabama,5091298.216047,301857.742739,182.855599,35.915319,0.002423,2023
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2024-Q3,9.971473,Alabama,5157699.0,316233.972148,195.199022,37.846144,0.002469,2024
Energy and Industry,al,101,AL-01,Katie Britt,Republican,Tommy Tuberville,Republican,Barry Moore,Republican,2024-Q4,29.914418,Alabama,5170148.445483,320908.376495,211.778995,40.961879,0.00264,2024
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q2,7.325043,Alabama,5045757.316039,289702.560009,,,,2021
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q3,39.467758,Alabama,5050380.0,289907.165521,,,,2021
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2021-Q4,48.214072,Alabama,5056298.785347,294244.263944,,,,2021
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q1,48.214072,Alabama,5062224.507206,293910.433898,5.119942,1.011402,7e-05,2022
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q2,48.214072,Alabama,5068028.128794,294193.112566,5.863794,1.157017,8e-05,2022
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q3,48.214072,Alabama,5073903.0,297079.127159,5.694005,1.122214,7.7e-05,2022
Energy and Industry,al,102,AL-02,Katie Britt,Republican,Tommy Tuberville,Republican,Shomari Figures,Democratic,2022-Q4,48.214072,Alabama,5082593.166121,300767.410734,10.31292,2.029067,0.000137,2022
Energy and Industry,al,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2022-Q3,0.339928,Alabama,5073903.0,297079.127159,5.694005,1.122214,7.7e-05,2022
Energy and Industry,al,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2022-Q4,0.694965,Alabama,5082593.166121,300767.410734,10.31292,2.029067,0.000137,2022
Energy and Industry,al,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2023-Q1,0.679857,Alabama,5091298.216047,301857.742739,182.855599,35.915319,0.002423,2023
Energy and Industry,al,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2023-Q2,0.355036,Alabama,5099828.452227,303222.67688,97.024543,19.02506,0.00128,2023
Energy and Industry,al,103,AL-03,Katie Britt,Republican,Tommy Tuberville,Republican,Mike Rogers,Republican,2024-Q4,114.318039,Alabama,5170148.445483,320908.376495,211.778995,40.961879,0.00264,2024
Energy and Industry,al,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q2,23.245358,Alabama,5000769.380926,259219.030871,,,,2020
Energy and Industry,al,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q3,69.736075,Alabama,5031864.0,282433.679971,,,,2020
Energy and Industry,al,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2020-Q4,69.736075,Alabama,5036524.637868,282681.360328,,,,2020
Energy and Industry,al,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2021-Q1,69.736075,Alabama,5041189.592535,288081.868978,,,,2021
Energy and Industry,al,104,AL-04,Katie Britt,Republican,Tommy Tuberville,Republican,Robert Aderholt,Republican,2021-Q2,69.736075,Alabama,5045757.316039,289702.560009,,,,2021
Energy and Industry,al,105,AL-05,Katie Britt,Republican,Tommy Tuberville,Republican,Dale Strong,Republican,2018-Q3,8.583093,Alabama,4891628.0,274093.313172,,,,2018
