Segment,Technology,Subcategory,Decarb_Sector,Project_Type,Estimated_Total_Facility_CAPEX,CD119_2024_Name,Announcement_Date,State,US Senator 1: Party,US Senator 2: Party,US Representative Party,Latitude,Longitude,Announcement_Year,Announcement_Quarter,solar_irradiance,wind_speed_2m,wind_speed_2m_max,wind_speed_50m,air_temp_2m,air_temp_2m_max,air_temp_2m_min,precipitation
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,200.295468,TN-08,2023-04-18,TN,Republican,Republican,Republican,35.606,-88.83,2023,2,4.226775956284153,1.6067213114754098,2.649016393442623,4.986639344262295,15.403005464480874,20.78311475409836,10.2698087431694,4.794535519125683
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,1.502216,VA-01,2023-06-19,VA,Democratic,Democratic,Republican,37.63792,-77.39912,2023,2,4.2189617486338795,0.84224043715847,1.4249453551912568,4.377868852459017,15.133633879781422,20.885136612021856,9.860163934426229,4.224535519125683
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,20.537455,LA-02,2020-07-08,LA,Republican,Republican,Democratic,30.031877,-90.063604,2020,3,4.5674043715847,3.431038251366121,4.708415300546448,5.871857923497268,21.52915300546448,24.503797814207648,18.59153005464481,4.112896174863389
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,44.591145,MI-11,2019-06-26,MI,Democratic,Democratic,Democratic,42.475023,-83.092156,2019,2,3.839262295081967,3.417295081967213,5.053579234972677,6.858469945355191,9.76136612021858,14.536174863387975,4.953770491803279,2.206857923497268
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,332.727759,TX-14,2022-06-16,TX,Republican,Republican,Republican,28.95464,-95.33891,2022,2,4.7796448087431695,3.2568306010928967,4.652021857923497,6.317322404371584,22.489344262295084,26.754590163934427,18.805245901639346,2.982595628415301
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,14.400517,IN-02,2021-06-15,IN,Republican,Republican,Republican,41.702912,-86.449965,2021,2,3.862814207650273,3.062732240437158,4.6855737704918035,6.574398907103825,10.653415300546447,15.88655737704918,5.691693989071039,2.353497267759563
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,,MA-03,2022-10-25,MA,Democratic,Democratic,Democratic,42.58353,-71.32055,2022,4,3.8942896174863386,0.6638251366120219,0.949016393442623,4.786393442622951,10.506967213114754,15.547841530054646,5.701311475409837,2.8103005464480875
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,74.906732,MA-04,2022-06-02,MA,Democratic,Democratic,Democratic,42.15369,-71.50164,2022,2,3.8942896174863386,0.5298633879781421,0.7601092896174864,4.823360655737704,11.10704918032787,16.197295081967212,6.347814207650273,2.9363387978142073
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,419.992018,AZ-07,2022-03-08,AZ,Democratic,Democratic,Democratic,32.222,-111.14,2022,1,5.960491803278688,2.4965573770491805,4.58983606557377,5.1499453551912575,20.86300546448087,29.08803278688525,13.886584699453552,0.4314207650273223
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Restart,208.074254,OH-01,2022-04-04,OH,Republican,Republican,Democratic,39.56931,-84.25916,2022,2,3.915464480874317,2.6400273224043715,4.239426229508196,5.96207650273224,12.061803278688524,17.463934426229507,6.747622950819673,2.93051912568306
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,22.188293,NV-02,2020-06-01,NV,Democratic,Democratic,Republican,39.612953,-119.251332,2020,2,5.3307103825136615,1.9818306010928963,3.862103825136612,3.9877322404371585,12.11707650273224,19.89330601092896,5.6273497267759565,0.2379234972677595
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,10.783563,NV-02,2021-11-15,NV,Democratic,Democratic,Republican,39.612953,-119.251332,2021,4,5.3307103825136615,1.9818306010928963,3.862103825136612,3.9877322404371585,12.11707650273224,19.89330601092896,5.6273497267759565,0.2379234972677595
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,13.226755,CA-49,2023-03-02,CA,Democratic,Democratic,Democratic,33.131762,-117.275934,2023,1,5.500983606557377,2.381120218579235,3.815546448087432,3.3228961748633874,18.119125683060112,20.91245901639344,15.92120218579235,0.8913661202185793
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,190.385116,CO-08,2023-03-06,CO,Democratic,Democratic,Republican,39.97624,-104.764166,2023,1,4.901311475409837,2.4718852459016394,4.331967213114754,5.46636612021858,10.809918032786884,18.80603825136612,3.928989071038252,0.9270765027322404
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,417.430632,NY-26,2022-10-19,NY,Democratic,Democratic,Democratic,43.132,-78.86,2022,4,3.7092349726775953,1.904918032786885,2.7325409836065573,5.843387978142077,10.120901639344265,14.307295081967217,6.004617486338798,2.252021857923497
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,801.181872,GA-02,2023-05-15,GA,Democratic,Democratic,Democratic,31.579,-84.16,2023,2,4.694562841530055,2.397704918032787,3.788142076502732,5.6168579234972675,19.951830601092897,25.787213114754095,14.472158469945354,3.3068032786885246
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,227.504773,NC-12,2022-10-19,NC,Republican,Republican,Democratic,35.198379,-80.927248,2022,4,4.3560928961748635,0.6088524590163935,0.9962841530054646,4.1822677595628415,16.544890710382514,22.281147540983607,11.309890710382511,4.048606557377049
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,0.822103,MD-04,2021-09-08,MD,Democratic,Democratic,Democratic,38.992705,-76.938532,2021,3,4.199945355191257,2.6327049180327866,4.09431693989071,5.955273224043715,13.78857923497268,18.74609289617486,9.165109289617488,3.8811475409836063
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,12.401097,NC-12,2021-12-06,NC,Republican,Republican,Democratic,35.212856,-80.865612,2021,4,4.3560928961748635,0.6088524590163935,0.9962841530054646,4.1822677595628415,16.544890710382514,22.281147540983607,11.309890710382511,4.048606557377049
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,317.47069,KY-01,2022-08-01,KY,Republican,Republican,Republican,36.855,-87.49,2022,3,4.126612021857924,1.5763661202185797,2.519262295081967,5.122814207650273,14.149562841530054,19.50087431693989,9.071475409836063,3.913715846994536
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,10.403713,CA-14,2022-04-06,CA,Democratic,Democratic,Democratic,37.62309,-122.12359,2022,2,4.825109289617486,2.049262295081967,3.3424590163934425,4.446803278688525,14.869890710382514,23.31989071038251,8.711229508196721,0.671912568306011
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,3178.799175,KY-02,2021-09-27,KY,Republican,Republican,Republican,37.59489,-85.87652,2021,3,4.041010928961748,1.6890983606557377,2.7449180327868854,5.070109289617487,13.923551912568303,19.24193989071038,8.739535519125683,3.8540163934426226
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,3069.18541,TN-08,2021-09-27,TN,Republican,Republican,Republican,35.402916,-89.417312,2021,3,4.266448087431694,2.431693989071038,3.896120218579235,5.766284153005465,15.677267759562842,20.996311475409836,10.648825136612022,4.38172131147541
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,701.034138,SC-04,2023-06-27,SC,Republican,Republican,Republican,34.75419,-82.05755,2023,2,4.514371584699453,1.3068579234972677,2.2797267759562843,4.314289617486338,16.070245901639346,21.704754098360656,10.802213114754098,4.27707650273224
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,3.14976,VA-02,2018-11-21,VA,Democratic,Democratic,Republican,36.8956,-76.1914,2018,4,4.266010928961749,3.571748633879782,5.139672131147541,6.578169398907103,16.313688524590166,19.696994535519128,13.06808743169399,4.27587431693989
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Expansion,2.503693,MI-12,2023-04-19,MI,Democratic,Democratic,Democratic,42.30776,-83.1854,2023,2,3.839262295081967,3.417295081967213,5.053579234972677,6.858469945355191,9.76136612021858,14.536174863387975,4.953770491803279,2.206857923497268
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,Expansion,42.062048,SC-03,2023-04-19,SC,Republican,Republican,Republican,34.66642,-82.98034,2023,2,4.514371584699453,0.2202732240437158,0.4725683060109291,3.713989071038252,16.112786885245903,22.047021857923497,10.759590163934426,4.865109289617487
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,82.667221,TX-13,2023-01-26,TX,Republican,Republican,Republican,35.510835,-101.033881,2023,1,5.340464480874317,3.788579234972677,5.82827868852459,7.557459016393442,15.727295081967211,23.87587431693989,8.654016393442623,0.9353005464480876
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,20.48198,MI-04,2022-08-08,MI,Democratic,Democratic,Republican,42.3358,-85.2695,2022,3,3.846229508196721,3.1851639344262295,4.866748633879782,6.816666666666667,9.298169398907104,14.427950819672132,4.190819672131147,2.5786612021857924
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,177.237128,OK-02,2021-06-17,OK,Republican,Republican,Republican,36.247299,-95.289147,2021,2,4.367622950819672,1.0212841530054646,1.5513934426229508,4.992650273224044,15.1446174863388,20.902404371584694,9.942103825136613,3.688442622950819
