Real GDP (2023 million USD) and estimated quarterly population count by quarter. Population interpolated using CAGR between July 1 estimates from the US census. Estimates after the last available value are extrapolated.

version:,2024_Q4.20250218.0
created:,Tue Feb 18 16:00:32 2025 (MST)

State,StateName,quarter,population,real_gdp
AL,Alabama,2018-Q1,4884859.790760,273802.557970
AL,Alabama,2018-Q2,4888224.027308,273872.554593
AL,Alabama,2018-Q3,4891628.000000,274093.313172
AL,Alabama,2018-Q4,4895740.686052,275948.223670
AL,Alabama,2019-Q1,4899856.829886,277189.317632
AL,Alabama,2019-Q2,4903886.840971,278680.784129
AL,Alabama,2019-Q3,4907965.000000,281232.968676
AL,Alabama,2019-Q4,4938818.974272,282805.200506
AL,Alabama,2020-Q1,4969866.912381,280740.300140
AL,Alabama,2020-Q2,5000769.380926,259219.030871
AL,Alabama,2020-Q3,5031864.000000,282433.679971
AL,Alabama,2020-Q4,5036524.637868,282681.360328
AL,Alabama,2021-Q1,5041189.592535,288081.868978
AL,Alabama,2021-Q2,5045757.316039,289702.560009
AL,Alabama,2021-Q3,5050380.000000,289907.165521
AL,Alabama,2021-Q4,5056298.785347,294244.263944
AL,Alabama,2022-Q1,5062224.507206,293910.433898
AL,Alabama,2022-Q2,5068028.128794,294193.112566
AL,Alabama,2022-Q3,5073903.000000,297079.127159
AL,Alabama,2022-Q4,5082593.166121,300767.410734
AL,Alabama,2023-Q1,5091298.216047,301857.742739
AL,Alabama,2023-Q2,5099828.452227,303222.676880
AL,Alabama,2023-Q3,5108468.000000,305546.026314
AL,Alabama,2023-Q4,5120798.613684,309115.854066
AL,Alabama,2024-Q1,5133158.990506,309043.165266
AL,Alabama,2024-Q2,5145414.365449,311627.655946
AL,Alabama,2024-Q3,5157699.000000,316233.972148
AL,Alabama,2024-Q4,5170148.445483,320908.376495
AK,Alaska,2018-Q1,738782.371731,66548.447892
AK,Alaska,2018-Q2,737708.358870,66065.079402
AK,Alaska,2018-Q3,736624.000000,65974.068599
AK,Alaska,2018-Q4,735861.371808,65679.463257
AK,Alaska,2019-Q1,735099.533167,65271.600026
AK,Alaska,2019-Q2,734355.019441,65291.824649
AK,Alaska,2019-Q3,733603.000000,66694.065178
AK,Alaska,2019-Q4,733442.324652,66495.189718
AK,Alaska,2020-Q1,733281.684496,65867.552251
AK,Alaska,2020-Q2,733122.825040,60732.520466
AK,Alaska,2020-Q3,732964.000000,62641.724879
AK,Alaska,2020-Q4,733457.282571,64214.526396
AK,Alaska,2021-Q1,733950.897120,64410.031085
AK,Alaska,2021-Q2,734434.102363,64239.470098
AK,Alaska,2021-Q3,734923.000000,64797.669693
AK,Alaska,2021-Q4,734507.517378,65655.867863
AK,Alaska,2022-Q1,734092.269645,63038.801644
AK,Alaska,2022-Q2,733686.276196,63498.574741
AK,Alaska,2022-Q3,733276.000000,63810.708090
AK,Alaska,2022-Q4,733308.764951,65295.869573
AK,Alaska,2023-Q1,733341.531366,66222.831462
AK,Alaska,2023-Q2,733373.586885,67895.407786
AK,Alaska,2023-Q3,733406.000000,69023.941750
AK,Alaska,2023-Q4,735091.165168,69081.919003
AK,Alaska,2024-Q1,736780.202382,68875.627848
AK,Alaska,2024-Q2,738454.698360,68687.538854
AK,Alaska,2024-Q3,740133.000000,69059.671917
AK,Alaska,2024-Q4,741833.621963,69433.821111
AZ,Arizona,2018-Q1,7106398.026630,425356.370103
AZ,Arizona,2018-Q2,7135094.676762,426704.417525
AZ,Arizona,2018-Q3,7164228.000000,430480.599295
AZ,Arizona,2018-Q4,7196181.895942,432282.118327
AZ,Arizona,2019-Q1,7228278.312679,435213.193915
AZ,Arizona,2019-Q2,7259815.498901,440910.446323
AZ,Arizona,2019-Q3,7291843.000000,449213.099254
AZ,Arizona,2019-Q4,7265265.431847,454728.963018
AZ,Arizona,2020-Q1,7238784.734558,450491.064700
AZ,Arizona,2020-Q2,7212686.822018,427648.462968
AZ,Arizona,2020-Q3,7186683.000000,458818.452446
